company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised
Tome,SF Bay Area,AI,12.0,0.25,2024-04-16,Series B,United States,75.0
Stability AI,London,AI,20.0,,2024-04-18,Unknown,United Kingdom,174.0
True Anomaly,Denver,Aerospace,30.0,0.25,2024-04-25,Series B,United States,158.0
Satellogic,Montevideo,Aerospace,70.0,0.3,2024-06-14,Post-IPO,Uruguay,424.0
Planet,SF Bay Area,Aerospace,180.0,0.17,2024-06-26,Post-IPO,United States,574.0
Satellogic,Montevideo,Aerospace,34.0,0.13,2024-05-24,Post-IPO,Uruguay,424.0
Discord,SF Bay Area,Consumer,170.0,0.17,2024-01-11,Series H,United States,995.0
Ancestry,Lehi,Consumer,81.0,0.06,2024-03-14,Post-IPO,United States,33.0
Google,SF Bay Area,Consumer,100.0,,2024-05-31,Post-IPO,United States,26.0
IAC,New York City,Consumer,330.0,,2024-01-10,Post-IPO,United States,
Google,SF Bay Area,Consumer,1000.0,,2024-01-10,Post-IPO,United States,26.0
Playtika,Tel Aviv,Consumer,300.0,0.1,2024-01-11,Post-IPO,Israel,
TikTok,Los Angeles,Consumer,1000.0,,2024-05-21,Acquired,United States,
New Work SE,Hamburg,Consumer,400.0,,2024-01-11,Post-IPO,Germany,
Mozilla,SF Bay Area,Consumer,60.0,0.05,2024-02-13,Unknown,United States,2.3
Google,SF Bay Area,Consumer,57.0,,2024-05-10,Post-IPO,United States,26.0
Instagram,SF Bay Area,Consumer,60.0,,2024-01-10,Acquired,United States,57.0
Riot Games,Los Angeles,Consumer,530.0,0.11,2024-01-22,Acquired,United States,21.0
Arkane Studios,Austin,Consumer,96.0,1.0,2024-05-08,Unknown,United States,
Sony Interactive,SF Bay Area,Consumer,900.0,0.08,2024-02-27,Subsidiary,United States,
Grammarly,SF Bay Area,Consumer,230.0,,2024-02-07,Unknown,United States,400.0
Google,SF Bay Area,Consumer,200.0,,2024-05-01,Post-IPO,United States,26.0
Snap,Los Angeles,Consumer,500.0,0.1,2024-02-05,Post-IPO,United States,4900.0
iRobot,Boston,Consumer,350.0,0.31,2024-01-29,Post-IPO,United States,30.0
Take-Two,New York City,Consumer,579.0,0.05,2024-04-16,Post-IPO,United States,4100.0
TikTok,Los Angeles,Consumer,60.0,,2024-01-22,Acquired,United States,
Twitch,SF Bay Area,Consumer,500.0,0.35,2024-01-09,Acquired,United States,35.0
TikTok,Dublin,Consumer,250.0,,2024-04-11,Acquired,Ireland,
Storytel,Stockholm,Consumer,80.0,0.13,2024-02-15,Post-IPO,Sweden,312.0
